#Warrio by Kingherb, fixed by vicviper

name	P.Warrior
health	100
speed	10
type	player
shadow	4
icon	data/chars/Warrio/icon.gif

diesound data/sounds/die3.wav

remap	data/chars/Warrio/idle1.gif    data/chars/Warrio/alter.gif


anim idle
	loop	1
	delay	60
	offset	99 183
	bbox	79 95 40 84
	frame   data/chars/Warrio/idle1.gif
	frame   data/chars/Warrio/idle1.gif
	frame   data/chars/Warrio/idle1.gif
	frame   data/chars/Warrio/idle1.gif
	delay	800
	delay	12
	frame   data/chars/Warrio/idle2.gif
	frame   data/chars/Warrio/idle3.gif
	frame   data/chars/Warrio/idle4.gif
	frame   data/chars/Warrio/idle5.gif
	frame   data/chars/Warrio/idle6.gif
	frame   data/chars/Warrio/idle6.gif
	frame   data/chars/Warrio/idle5.gif
	frame   data/chars/Warrio/idle4.gif
	frame   data/chars/Warrio/idle3.gif
	frame   data/chars/Warrio/idle2.gif
	frame   data/chars/Warrio/idle3.gif
	frame   data/chars/Warrio/idle4.gif
	frame   data/chars/Warrio/idle5.gif
	frame   data/chars/Warrio/idle6.gif
	frame   data/chars/Warrio/idle5.gif
	frame   data/chars/Warrio/idle4.gif
	frame   data/chars/Warrio/idle3.gif
	frame   data/chars/Warrio/idle2.gif
	frame   data/chars/Warrio/idle3.gif
	frame   data/chars/Warrio/idle4.gif
	frame   data/chars/Warrio/idle5.gif
	frame   data/chars/Warrio/idle6.gif
	frame   data/chars/Warrio/idle5.gif
	frame   data/chars/Warrio/idle4.gif
	frame   data/chars/Warrio/idle3.gif
	frame   data/chars/Warrio/idle2.gif
anim walk
	loop	1
	delay	5
	offset	104 182
	bbox	86 94 42 81
	frame   data/chars/Warrio/walk1.gif
	frame   data/chars/Warrio/walk2.gif
	frame   data/chars/Warrio/walk3.gif
	frame   data/chars/Warrio/walk4.gif
	frame   data/chars/Warrio/walk5.gif
	frame   data/chars/Warrio/walk6.gif
	frame   data/chars/Warrio/walk7.gif
	frame   data/chars/Warrio/walk8.gif
	frame   data/chars/Warrio/walk9.gif
	frame   data/chars/Warrio/walk10.gif
	frame   data/chars/Warrio/walk11.gif
	frame   data/chars/Warrio/walk12.gif

anim get
	loop	0
	delay	8
	offset	99 183
	sound   data/chars/Warrio/sounds/predget.wav
	frame   data/chars/Warrio/get1.gif
	frame   data/chars/Warrio/get1.gif
        delay   11
	frame   data/chars/Warrio/get1.gif
        delay   5
	frame   data/chars/Warrio/get1.gif


anim jump
	loop	0
	delay	7
	offset	92 179
	bbox	75 65 51 79
	frame   data/chars/Warrio/jump1.gif
        offset  92 164
	frame   data/chars/Warrio/jump2.gif
        offset  92 144
	frame   data/chars/Warrio/jump3.gif
	frame   data/chars/Warrio/jump4.gif
	frame   data/chars/Warrio/jump5.gif
	frame   data/chars/Warrio/jump6.gif
        offset  92 176
        frame   data/chars/Warrio/jump7.gif


anim jumpattack
	loop	0
	offset	66 128
	delay	7
	bbox	50 66 42 54
        frame   data/chars/Warrio/ak1.gif
        delay   20
        offset  66 127
        attack  74 82 72 39 12 1
        frame   data/chars/Warrio/ak2.gif
