#level3a
music		data/music/aliens.bor
bossmusic	data/music/boss.bor

# Load images
background	data/bgs/level3a/back.gif
panel		data/bgs/level3a/front.gif	none	                        none
frontpanel	data/bgs/level3a/fnt.gif
#---------------------
order	aaaaaaaaaaaaaaaaaaaaaaaaaaaaa



#---Punch some Eggs in the floor---



spawn	Egg
item	apple
flip	1
health	1000
coords	240 160
at	0

spawn	Egg
item	apple
flip	1
health	1000
coords	240 195
at	0

spawn	Egg
item	apple
flip	1
health	1000
coords	240 230
at	0

spawn	Egg
item	apple
health	1000
coords	530 160
flip	0
at	0

spawn	Egg
item	apple
health	1000
coords	530 195
flip	0
at	0

spawn	Egg
item	apple
health	1000
coords	530 230
flip	0
at	0



#-----It's raining Raiden... Aleluya!---



wait
at	250

group	4 4
at	250

spawn	Alien2
alias	LOLER
map	1
health	35
coords	100 180
at	250

spawn	Alien2
alias	LOLER
map	2
health	35
coords	220 180
at	250

spawn	Alien2
alias	LOLER
health	35
coords	100 210
at	250

spawn	alien1
alias	kingherb
map	2
health	100
coords	220 210
at	250

spawn	alien1
alias	LOLER
map	1
health	35
coords	100 180
at	250

spawn	alien1
alias	LOLER
map	2
health	35
coords	220 180
at	250

spawn	alien1
alias	LOLER
health	35
coords	100 210
at	250

spawn	alien1
alias	LOLER
map	1
health	35
coords	220 210
at	250
spawn	alien1
alias	LOLER
map	1
health	35
coords	100 180
at	250

spawn	alien1
alias	LOLER
map	2
health	35
coords	220 180
at	250

spawn	alien1
alias	LOLER
health	35
coords	100 210
at	250

spawn	alien1
alias	LOLER
map	1
health	35
coords	220 210
at	250

spawn	alien1
alias	LOLER
map	1
health	35
coords	100 180
at	250

spawn	alien1
alias	LOLER
map	2
health	35
coords	220 180
at	250

spawn	alien1
alias	LOLER
health	35
coords	100 210
at	250

spawn	alien1
alias	LOLER
map	1
health	35
coords	220 210
at	250

spawn	alien1
alias	LOLER
map	1
health	35
coords	100 180
at	250

spawn	alien1
alias	kingherb
map	2
health	100
coords	220 210
at	250


spawn	alien1
alias	LOLER
map	2
health	35
coords	220 180
at	250

spawn	alien1
alias	LOLER
health	35
coords	100 210
at	250

spawn	alien1
alias	LOLER
map	1
health	35
coords	220 210
at	250



#---Punch some Eggs in the floor---



spawn	Egg
item	apple
flip	1
health	1000
coords	900 160
at	0

spawn	Egg
item	apple
flip	1
health	1000
coords	900 195
at	0

spawn	Egg
item	apple
flip	1
health	1000
coords	900 230
at	0

spawn	Egg
item	apple
health	1000
coords	1190 160
flip	0
at	0

spawn	Egg
item	apple
health	1000
coords	1190 195
flip	0
at	0

spawn	Egg
item	apple
health	1000
coords	1190 230
flip	0
at	0



