name RDias
type enemy
health 5
speed 30
falldie 1
nodieblink 2
icon data/chars/rdias/icon.gif
makeinv 4 0
turndelay	2147483647
knife z1
weapons rdias2 rdias

atchain 0


anim	backwalk
	cancel	0 3 0 a freespecial
	offset	52 130
	bbox	34 93 32 37
	frame	data/chars/rdias/1.gif
	frame	data/chars/rdias/1b.gif
	frame	data/chars/rdias/1.gif
	frame	data/chars/rdias/1b.gif
		
anim	death
	delay	3
	offset	52 130
	sound	data/sfx/explode.wav
	frame	data/chars/ded/1.gif
	frame	data/chars/ded/2.gif
	frame	data/chars/ded/3.gif
	frame	data/chars/ded/4.gif
	frame	data/chars/ded/5.gif
	frame	data/chars/ded/6.gif
	frame	data/chars/ded/7.gif
	frame	data/chars/ded/8.gif
	frame	data/chars/ded/9.gif
	frame	data/chars/ded/10.gif
	frame	data/chars/ded/11.gif
	frame	data/chars/ded/12.gif
	frame	data/chars/ded/13.gif
	frame	data/chars/ded/14.gif
	frame	data/chars/ded/15.gif
	frame	data/chars/ded/16.gif
	frame	data/chars/ded/17.gif
	frame	data/chars/ded/18.gif
	frame	data/chars/ded/19.gif
	frame	data/chars/ded/20.gif
	frame	data/chars/ded/21.gif
	frame	data/chars/ded/22.gif
	frame	data/chars/ded/23.gif
	frame	data/chars/ded/24.gif
	frame	data/chars/ded/25.gif
	frame	data/chars/ded/26.gif
		
anim	fall
	delay	1
	offset	52 130
	frame	data/chars/rdias/1.gif
		
anim	freespecial
	delay	1
	weaponframe	0 1
	offset	52 130
	bbox	50 112 1 1
	frame	data/chars/rdias/1.gif
		
anim	freespecial2
	cancel	2 3 0 s freespecial3
	bbox	34 93 32 37
	delay	6
	sound	data/sfx/saber.wav
	offset	52 130
	bbox	50 112 1 1
	frame	data/chars/rdias/5.gif
	attack1	63 93 30 30 5 0 0 0 0 1000
	frame	data/chars/rdias/6.gif
	Attack1	0
	frame	data/chars/rdias/7.gif
	frame	data/chars/rdias/7.gif
		
anim	freespecial3
	delay	6
	bbox	34 93 32 37
	sound	data/sfx/saber.wav
	offset	52 130
	bbox	50 112 1 1
	frame	data/chars/rdias/8.gif
	attack1	68 106 33 18 5 0 0 0 0 1000
	frame	data/chars/rdias/9.gif
	Attack1	0
	frame	data/chars/rdias/10.gif
	frame	data/chars/rdias/10.gif
		
anim	idle
	cancel	0 3 0 a freespecial
	offset	52 130
	bbox	35 90 32 40
	frame	data/chars/rdias/1.gif
	frame	data/chars/rdias/1b.gif
	frame	data/chars/rdias/1.gif
	frame	data/chars/rdias/1b.gif
		
anim	pain
	delay	1
	offset	52 130
	frame	data/chars/rdias/1.gif
		
anim	rise
	delay	1
	offset	52 130
	frame	data/chars/rdias/1.gif
		
anim	select
	delay	200
	offset	67 230
	frame	data/chars/rdias/select.gif
		
anim	special
	energycost	0
	bbox	34 93 32 37
	cancel	2 3 0 s freespecial2
	delay	6
	sound	data/sfx/saber.wav
	offset	52 130
	bbox	50 112 1 1
	frame	data/chars/rdias/2.gif
	attack1	62 100 34 24 5 0 0 0 0 1000
	frame	data/chars/rdias/3.gif
	Attack1	0
	frame	data/chars/rdias/4.gif
	frame	data/chars/rdias/4.gif
		
anim	waiting
	offset	67 230
	frame	data/chars/rdias/select.gif
		
anim	walk
	cancel	0 3 0 a freespecial
	offset	52 130
	bbox	34 93 32 37
	frame	data/chars/rdias/1.gif
	frame	data/chars/rdias/1b.gif
	frame	data/chars/rdias/1.gif
	frame	data/chars/rdias/1b.gif
		
#|edited by openBor Stats v 0.67
		
